S.No,Energy Drink,Ingredients List,Levels of Each Ingredient,Alternative Ingredient List,Thresholds for Diabetes Mellitus (per serving),Thresholds for Cardiovascular Diseases,Diabetic Threshold (per serving),Food Safety Resources- Resource1,Food Safety Resources- Resource2,Food Safety Resources- Resource3,Expiry Dates,User Profile,Alternate Products-Product 1,Alternate Products-Product 2
1,Red Bull Energy Drink,"Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Pantothenic Acid, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors","Sugar: 27g, Caffeine: 80mg, Taurine: 1000mg","Stevia, Green Tea Extract","Sugar: 10g, 
Caffeine: 40mg","CVD: 200mg, 
Sugar: 30g","Sugar: 10g, Caffeine: 40mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
2,Monster Energy,"Carbonated Water, Sucrose, Glucose, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, L-Carnitine, Caffeine, Sorbic Acid, Benzoic Acid, Niacinamide, Sucralose","Sugar: 27g, Caffeine: 160mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 15g, 
Caffeine: 60mg","CVD: 250mg, 
Sugar: 40g","Sugar: 15g, Caffeine: 60mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
3,Rockstar Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Caffeine, Taurine, Guarana Seed Extract, Carnitine, Ginseng Root Extract, Milk Thistle Extract, Natural Flavors, Caramel Color","Sugar: 30g, Caffeine: 160mg, Taurine: 1000mg","Coconut Sugar, L-Theanine","Sugar: 12g, 
Caffeine: 50mg","CVD: 220mg, 
Sugar: 35g","Sugar: 20g, Caffeine: 80mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
4,5-hour Energy,"Purified Water, Natural and Artificial Flavors, Sucralose, Potassium Sorbate, Sodium Benzoate, EDTA, Niacinamide, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12","Sugar: 0g, Caffeine: 200mg, Niacin: 30mg","Erythritol, Ginseng Extract","Sugar: 0g, 
Caffeine: 80mg","CVD: 180mg, 
Sugar: 10g",Caffeine: 100mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
5,NOS Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Natural Flavors, Citric Acid, Sodium Citrate, Sodium Hexametaphosphate, Taurine, Caffeine, Panax Ginseng Extract, L-Carnitine, Sucralose, Potassium Sorbate","Sugar: 25g, Caffeine: 160mg, Taurine: 1000mg","Stevia, Green Tea Extract","Sugar: 18g, Caffeine: 100mg","CVD: 300mg, Sugar: 45g","Sugar: 15g, Caffeine: 60mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
6,Bang Energy,"Carbonated Water, Citric Acid, Natural Flavors, Caffeine, Sodium Benzoate, Potassium Citrate, L-Leucine, L-Isoleucine, L-Valine, Amino Acids, CoQ10, Super Creatine, L-Carnitine, Sucralose","Sugar: 0g, Caffeine: 300mg, Amino Acids: 2.5g","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 120mg","CVD: 150mg, Sugar: 5g",Caffeine: 150mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
7,Celsius Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Guarana Extract, Green Tea Leaf Extract, Ginger Root Extract, Caffeine, B-Vitamins, Sucralose, Beta-Carotene","Sugar: 0g, Caffeine: 200mg, Guarana Extract: 100mg","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 80mg","CVD: 170mg, Sugar: 5g",Caffeine: 100mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
8,Reign Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Caffeine, Electrolytes, CoQ10, BCAAs, L-Carnitine, Sucralose","Sugar: 0g, Caffeine: 300mg, BCAAs: 2g","Stevia, Green Tea Extract","Sugar: 0g, Caffeine: 120mg","CVD: 250mg, Sugar: 5g",Caffeine: 150mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
9,G Fuel Energy Formula,"Maltodextrin, Vitamin C, Vitamin E, Vitamin B3, Vitamin B6, Vitamin B12, Acai Berry Powder, Pineapple Fruit Powder, Apple Fruit Powder, Pomegranate Fruit Powder, Blueberry Fruit Powder, Raspberry Fruit Powder, Strawberry Fruit Powder","Sugar: 0g, Caffeine: 150mg, Vitamin C: 1000mg","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 60mg","CVD: 180mg, Sugar: 10g",Caffeine: 75mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
10,Xyience Energy,"Carbonated Water, Citric Acid, Natural Flavors, Taurine, Caffeine, Panax Ginseng Extract, Guarana Extract, Sodium Citrate, Potassium Sorbate, Sodium Benzoate","Sugar: 0g, Caffeine: 176mg, Taurine: 2000mg","Stevia, Green Tea Extract","Sugar: 0g, Caffeine: 70mg","CVD: 230mg, Sugar: 10g",Caffeine: 88mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
11,Full Throttle Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural and Artificial Flavors, Sodium Citrate, Sodium Hexametaphosphate, Sodium Benzoate, Caffeine, Niacinamide, Sodium Saccharin, L-Carnitine","Sugar: 29g, Caffeine: 160mg, L-Carnitine: 50mg","Erythritol, Ginseng Extract","Sugar: 20g, Caffeine: 80mg","CVD: 210mg, Sugar: 30g","Sugar: 15g, Caffeine: 80mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
12,AMP Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Taurine, Guarana Extract, Panax Ginseng Extract, Caffeine, Ascorbic Acid, Niacinamide, Inositol, Calcium Pantothenate, Vitamin B6","Sugar: 29g, Caffeine: 142mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 20g, Caffeine: 60mg","CVD: 200mg, Sugar: 30g","Sugar: 15g, Caffeine: 70mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
13,V8 +Energy,"Water, Vegetable Juice Blend (Sweet Potatoes, Carrots, Apples, Purple Carrots), Fruit Juice Blend (Pineapple, Apple, Orange, Lemon), Natural Flavors, Caffeine","Sugar: 10g, Caffeine: 80mg","Stevia, Green Tea Extract","Sugar: 5g, Caffeine: 30mg","CVD: 100mg, Sugar: 10g","Sugar: 5g, Caffeine: 40mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
14,Adrenaline Shoc Energy Drink,"Carbonated Water, Organic Cane Sugar, Natural Flavors, Citric Acid, Sodium Citrate, Organic Caffeine, Organic Yerba Mate Extract, Organic Green Tea Extract, Organic Guarana Extract","Sugar: 0g, Caffeine: 160mg, Organic Cane Sugar: 30mg","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 120mg","CVD: 250mg, Sugar: 5g",Caffeine: 80mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
15,Guru Organic Energy Drink,"Sparkling Water, Organic Cane Sugar, Natural Flavors, Organic Green Tea Leaf Extract, Organic Guarana Seed Extract, Organic Echinacea Flower Extract, Organic Panax Ginseng Root Extract","Sugar: 20g, Organic Cane Sugar: 30mg","Stevia, Green Tea Extract","Sugar: 10g, Caffeine: 40mg","CVD: 160mg, Sugar: 15g",Sugar: 10g,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
16,Venom Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Root Extract, Caffeine, Sorbic Acid, Benzoic Acid","Sugar: 29g, Caffeine: 160mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 18g, Caffeine: 80mg","CVD: 210mg, Sugar: 35g","Sugar: 15g, Caffeine: 80mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
17,Zipfizz Energy Mix,"Citric Acid, Fructose, Natural Flavors, Grape Seed Extract, Green Tea Leaf Extract, Guarana Seed Extract, Caffeine, Potassium Carbonate, Sodium Bicarbonate, Magnesium Oxide","Fructose: 2g, Caffeine: 100mg","Stevia, Green Tea Extract","Sugar: 0g, Caffeine: 40mg","CVD: 150mg, Sugar: 5g","Fructose: 1g, Caffeine: 50mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
18,Spike Hardcore Energy,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Hexametaphosphate, Sodium Benzoate, Caffeine, Taurine, Maltodextrin","Sugar: 30g, Caffeine: 160mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 20g, Caffeine: 80mg","CVD: 210mg, Sugar: 30g","Sugar: 15g, Caffeine: 80mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
19,Rip It Energy Fuel,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Taurine, Sodium Citrate, Caffeine, Natural Flavors, Sodium Benzoate, Pantothenic Acid, Yellow 5","Sugar: 30g, Caffeine: 120mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 20g, Caffeine: 60mg","CVD: 210mg, Sugar: 30g","Sugar: 15g, Caffeine: 60mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
20,Amino Energy Drink (Optimum Nutrition),"Carbonated Water, Amino Blend (Taurine, L-Glutamine, L-Arginine, L-Leucine, Beta-Alanine, Citrulline), Natural and Artificial Flavors, Malic Acid, Tartaric Acid, Sodium Citrate, Caffeine","Sugar: 0g, Caffeine: 100mg, Taurine: 500mg","Stevia, Green Tea Extract",Caffeine: 60mg,"CVD: 180mg, Sugar: 10g",Caffeine: 50mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
21,C4 Energy,"Carbonated Water, Natural Flavors, Citric Acid, Sucralose, Beta-Alanine, BetaPower Betaine Anhydrous, Potassium Citrate, Caffeine Anhydrous, TeaCrine Theacrine, AlphaSize Alpha-GPC, N-Acetyl-L-Tyrosine, CarnoSyn Beta-Alanine, Velvet Bean Seed Extract, Huperzine A (from Toothed Clubmoss Aerial Parts Extract)","Caffeine: 200mg, Beta-Alanine: 1600mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
22,AdvoCare Spark,"Thiamine Mononitrate, Riboflavin, Niacinamide, Vitamin B6, Folate, Vitamin B12, Pantothenic Acid, Magnesium, Zinc, Copper, Chromium, Choline, L-Tyrosine, Taurine, Caffeine, Glycine, Citric Acid, Sucralose, Natural and Artificial Flavors","Caffeine: 120mg, Taurine: 200mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
23,Raze Energy,"Carbonated Water, Citric Acid, Natural Flavors, Sucralose, Caffeine Anhydrous, L-Leucine, Potassium Citrate, L-Isoleucine, L-Valine, Taurine, Alpha GPC, Cognizin, L-Tyrosine, Choline Bitartrate, L-Carnitine L-Tartrate, L-Taurine, Potassium Sorbate","Caffeine: 300mg, Taurine: 2000mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
24,XS Energy Drink (Amway),"Carbonated Water, Sucrose, Citric Acid, Sodium Citrate, Taurine, Guarana Extract, Caffeine, Panax Ginseng Root Extract, Niacinamide, Pantothenic Acid, Vitamin B6, Vitamin B12","Sugar: 32g, Caffeine: 80mg, Taurine: 1000mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
25,VPX Bang Keto Coffee,"Coffee, Super Creatine, BCAAs, Branched Chain Amino Acids, Medium Chain Triglycerides, Pea Protein Isolate, Natural and Artificial Flavors, Sodium Caseinate, Cocoa Powder, Sunflower Oil, Sodium Hexametaphosphate, Potassium Citrate, Sodium Citrate",Caffeine: 200mg,"Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
26,Guru Lite Organic Energy Drink,"Sparkling Water, Organic Cane Sugar, Natural Flavors, Organic Lemon Juice Concentrate, Organic Caffeine, Organic Green Tea Leaf Extract, Organic Guarana Seed Extract","Sugar: 14g, Caffeine: 80mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
27,Steaz Organic Energy Drink,"Sparkling Water, Organic Erythritol, Organic Rebaudioside A (Stevia Leaf Extract), Organic Citric Acid, Organic Caffeine, Organic Sustaining Energy Blend (Organic Yerba Mate Extract, Organic Green Tea Extract)","Sugar: 0g, Caffeine: 75mg","Organic Coconut Sugar, Organic Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
28,BANG Master Blaster,"Carbonated Water, Natural Flavors, Citric Acid, Sucralose, Sodium Benzoate, Potassium Citrate, EAAs, Super Creatine, CoQ10, BCAAs, L-Leucine, L-Isoleucine, L-Valine, L-Alanyl-L-Glutamine, L-Alanine, L-Arginine",Caffeine: 300mg,"Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
29,Venom Black Mamba,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Hexametaphosphate, Sodium Benzoate, Caffeine, Niacinamide, Sodium Saccharin, L-Carnitine","Sugar: 29g, Caffeine: 160mg, L-Carnitine: 50mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
30,Redline Xtreme Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Sucralose, Potassium Sorbate, Sodium Benzoate, Caffeine, L-Carnitine, Evoburn (L-Theanine, EGCG from Green Tea Extract, N-Acetyl-L-Tyrosine), Yohimbe Bark Extract, Niacinamide, Vinpocetine","Caffeine: 316mg, L-Carnitine: 100mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
31,Starbucks Doubleshot Energy,"Brewed Starbucks Coffee, Reduced Fat Milk, Sugar, Guarana Extract, B-Vitamins","Sugar: 22g, Caffeine: 145mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
32,Monster Ultra Energy Drink,"Carbonated Water, Citric Acid, Erythritol, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, Sucralose, L-Carnitine L-Tartrate, Caffeine, Sorbic Acid, Benzoic Acid, Niacinamide, Acesulfame Potassium","Sugar: 0g, Caffeine: 140mg, Taurine: 1000mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
33,3D Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Caffeine, Panax Ginseng Root Extract, Sucralose, L-Carnitine L-Tartrate, Inositol, Guarana Seed Extract, Niacinamide, Potassium Sorbate","Sugar: 0g, Caffeine: 200mg, Taurine: 1000mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
34,Raze Energy Apollo,"Carbonated Water, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Caffeine, Panax Ginseng Root Extract, L-Carnitine L-Tartrate, Potassium Sorbate, Sucralose, Niacinamide, Astragalus Membranaceus Root Extract","Sugar: 0g, Caffeine: 300mg, Taurine: 2000mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
35,Caffeine Free Zevia Energy,"Carbonated Water, Citric Acid, Stevia Leaf Extract, Natural Flavors, Green Coffee Bean Extract","Sugar: 0g, Caffeine: 0mg",None,,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
36,Hiball Energy Organic Sparkling Energy Water,"Sparkling Water, Organic Guarana Extract, Organic Ginseng Extract, Organic Caffeine, Organic Panax Ginseng Root Extract, Organic Rebaudioside A (Stevia Leaf Extract)","Sugar: 0g, Caffeine: 160mg",None,,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
37,Rip It Sugar-Free Energy,"Carbonated Water, Citric Acid, Taurine, Sodium Citrate, Caffeine, Natural Flavors, Sodium Benzoate, Panax Ginseng Root Extract, Sucralose, Acesulfame Potassium, Calcium Disodium EDTA","Sugar: 0g, Caffeine: 120mg, Taurine: 1000mg","Stevia, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
38,C4 Carbonated Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Malic Acid, Sucralose, Beta-Alanine, Potassium Citrate, Caffeine Anhydrous, Potassium Sorbate, Sodium Citrate, Acesulfame Potassium","Caffeine: 200mg, Beta-Alanine: 1500mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
39,Liquid Ice Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Caffeine, Sodium Benzoate, Potassium Sorbate, Ginseng Extract","Sugar: 27g, Caffeine: 100mg, Taurine: 1500mg","Erythritol, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
40,Runa Clean Energy Drink,"Sparkling Water, Organic Guayusa Leaf Extract, Organic Cane Sugar, Organic Lemon Juice Concentrate, Citric Acid, Natural Flavors, Organic Lime Juice Concentrate","Sugar: 12g, Caffeine: 120mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
41,Hiball Energy Organic Energy Drink,"Sparkling Water, Organic Cane Sugar, Organic Lemon Juice Concentrate, Organic Guarana Extract, Organic Panax Ginseng Extract, Organic Caffeine, Organic Rebaudioside A (Stevia Leaf Extract)","Sugar: 11g, Caffeine: 160mg","Stevia, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
42,Guru Yerba Mate Energy Drink,"Carbonated Water, Organic Yerba Mate Extract, Organic Cane Sugar, Organic Lemon Juice Concentrate, Organic Lemon Extract, Organic Caffeine","Sugar: 12g, Caffeine: 80mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
43,Monster Hydro Energy,"Carbonated Water, Glucose, Citric Acid, Taurine, Sodium Citrate, Natural Flavors, Panax Ginseng Extract, Caffeine, Sucralose, Niacinamide, Acesulfame Potassium, L-Tyrosine, L-Carnitine L-Tartrate, Sodium Benzoate, Pyridoxine Hydrochloride, Cyanocobalamin","Sugar: 14g, Caffeine: 125mg, Taurine: 1200mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
44,Hi-Ball Protein Energy,"Carbonated Water, Organic Cane Sugar, Natural Flavors, Guarana Extract, Caffeine, Sodium Citrate, Organic Guarana Extract, Organic Caffeine, Organic Guarana Extract","Sugar: 18g, Caffeine: 160mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
45,Kill Cliff Ignite,"Carbonated Water, Organic Erythritol, Organic Lemon Juice Concentrate, Organic Citric Acid, Natural Flavors, Organic Green Tea Extract, Organic Caffeine, Organic Valerian Root Extract, Organic Stevia Leaf Extract","Sugar: 0g, Caffeine: 150mg","Organic Coconut Sugar, Organic Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
46,Wired Energy Drink,"Carbonated Water, Glucose, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, Caffeine, Inositol, Guarana Extract, Niacinamide, Acesulfame Potassium, L-Carnitine L-Tartrate, Sodium Benzoate, Pyridoxine Hydrochloride, Cyanocobalamin","Sugar: 14g, Caffeine: 155mg, Taurine: 1000mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
47,Bing Energy Drink,"Carbonated Water, Cane Sugar, Citric Acid, Natural Flavors, Sodium Citrate, Caffeine, Ginseng Root Extract, Guarana Seed Extract, Taurine, Panax Ginseng Extract","Sugar: 25g, Caffeine: 120mg, Taurine: 500mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
48,Mad Croc Energy Drink,"Carbonated Water, Sucrose, Citric Acid, Taurine, Sodium Citrate, Natural Flavors, Caffeine, L-Carnitine, Panax Ginseng Extract, Sodium Benzoate, Guarana Extract","Sugar: 28g, Caffeine: 80mg, Taurine: 1000mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
49,Driven Nutrition Driven Energy,"Carbonated Water, Sucrose, Citric Acid, Taurine, Sodium Citrate, Natural Flavors, Caffeine, L-Carnitine, Panax Ginseng Extract, Sodium Benzoate, Guarana Extract","Sugar: 25g, Caffeine: 120mg, Taurine: 1000mg","Erythritol, Ginseng Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
50,AMP Game Fuel,"Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavors, Sodium Citrate, Sodium Benzoate, Gum Arabic, Caffeine, Taurine, Sodium Hexametaphosphate, Sodium Polyphosphates, Panax Ginseng Extract","Sugar: 23g, Caffeine: 72mg, Taurine: 1000mg","Stevia, Green Tea Extract",,,,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,,,,
